ያንደኛ ደረጃ ትምህርታቸው ን ጐንደር ተ ም ረዋል,tr_1_tr01001
የተ ለቀቁት ምርኮኞች በ አካባቢያቸው ሰላማዊ ኑሮ እንዲ ኖሩ የ ትራንስፖርት ና መጓጓዣ ገንዘብ ተሰጥቷ ቸው መሸኘታቸው ን አመልክቶ በ የ ዞ ናቸው እንደ ደረሱ መቃቋሚያ እንደሚ ሰጣቸው ም አስ ታውቋል,tr_2_tr01002
በ አዲስ አበባው ስታዲየም በ ተካሄዱ ት ሁለት ግጥሚያ ዎች በ መጀመሪያ የ ተገናኙ ት መድን ና ሙገር ሲሚንቶ ሲ ሆኑ በ ውጤቱ ም ሶስት ለ ሶስት ተለያይ ተዋል,tr_3_tr01003
ወሬው ን ወሬ ያደረጉ ምስጢረ ኞች ናቸው,tr_4_tr01004
ኢትዮጵያዊ ቷ በ ብሄራዊ ባህላዊ አለባበስ ከ አለም አንደኝነት ን ተቀዳጀ ች,tr_5_tr01005
ከ ትምክህት እንዳይ ቆጠር ብን እንጂ በ አለም ታሪክ ውስጥ በ ነጮች ያል ተረገጠ ች አገር ኢትዮጵያ ና ት,tr_6_tr01006
እህቶቹ የኤርትራ ዜጐች ና የ ሻእቢያ ደጋፊዎች ናቸው,tr_7_tr01007
እናንተ ም መቀበሪያ እንዳ ታጡ ተጠንቀቁ,tr_8_tr01008
አንቶኔሊ በ አጼ ምንሊክ ፊት የ ፈጸመው ድፍረት በ ኢጣሊያ ን ምክር ቤት አስተ ቸው,tr_9_tr01009
ግን ወደ ኋላው ላይ ኢሳያስ እንደ ልማ ዳቸው ሁሉን ም የ መልከ ፍ ዲፕሎማሲ ያቸው እስራኤል ንም ያስ ወር ፋቸው ጀመር,tr_10_tr01010
ከ የ አቅጣጫ ው እየ ደረሷቸው ያሉ መረጃዎች አሳሳቢ ችግሮች እየ ደረሱ መሆናቸው ን የሚ ጠቁሙ መሆናቸው ን ፕሬዝዳንቱ ተናግረ ዋል,tr_11_tr01011
ከ ማወቁ በፊት እንደ ተበጠበጠ ገበያ እንዳይ በታተን ይህ ነው አጀንዳ ችን ሌላ አጀንዳ የ ለ ንም,tr_12_tr01012
ኢትዮጵያ ም ሰራዊቷ በ ኤርትራ እንደሚ ገኝ አል ካደ ችም,tr_13_tr01013
ላቁኦተ ትምህርት ቤት መንገድ ና ሆስፒታል ተ ገንብቷል,tr_14_tr01014
ኦስሪያን በ ሀገሩ አንድ ለ ዜሮ አሸንፎ ሶስት ነጥብ ይ ዟል,tr_15_tr01015
ሁሴን አይዲድ እንደ ገለጹት ኢትዮጵያ ሁኔታዎች ከ ተመቻቹ ላት ሶማሊያ ን ከ መውረር ስለማ ት መለስ ከ እርቁ ይልቅ ሶማሊያ ን ከ ኢትዩጵያ ና ኢትዮጵያ ካ ደራጀ ቻቸው ሀይሎች ለ መጠበቅ መዘጋጀት ያስፈልጋ ል,tr_16_tr01016
በ ሙስና ክስ የ ተመሰረተባቸው ነጋዴዎች መገናኛ ብዙሀን ን ከሰሱ,tr_17_tr01017
ኢትዮጵያ የመን ና ሱዳን ኢሳያስ ን ለ ማውረድ ተስማም ተዋል ተ ባለ,tr_18_tr01018
ለማ ን አቤት ማለት እንደሚ ቻል ም ግራ ገብቶ ናል በ ማለት ነጋዴ ዎቹ ብሶ ታቸውን ገልጸዋል,tr_19_tr01019
በ ኢትዮጵያውያ ን ብቻ ሳን ወሰን የ ኢትዮጵያ ወዳጆች የሆኑ የ ኢትዮጵያ ታሪክ አዋቂዎች ም በ ውጪ የሚገኙ በዚህ ስራ ላይ ተሳታፊ እንዲሆኑ ጥረት አድርገ ናል,tr_20_tr01020
ኢትዮጵያ ውስጥ የ ነበሩት ኤርትራውያን ም ተመሳሳይ እድል ነበራቸው,tr_21_tr01021
የ ደህንነት ኢሚግሬሽን ና ስደተኞች ባለስልጣን ሰራተኞች በ በኩላቸው ተጓዦቹ ሰነዱ ን እንዲ ያሟሉ ለ ቀይ መስቀል ኮሚቴው ማስታወ ቃቸው ን ተናግረ ዋል,tr_22_tr01022
ሁለት መቶ ሺ ያህሉ ደግሞ አብዛኛዎቹ ሲ ሰደዱ ቀሪዎቹ ሞ ተዋል ወይን ም ተ ሸሽገ ዋል,tr_23_tr01023
ዛሬ ም ደግ መ ን ይህንኑ እን ላለን,tr_24_tr01024
በ ቦሌ አለም አቀፍ አውሮፕላን ማረፊያ ጸረ ናርኮቲክ የ ቁጥጥር ክፍል አደገኛ እጾች አዘዋዋሪ ዎች ኢትዮጵያ ን መሸጋገሪያ እንዳያ ደርጓት ማሳሰቡ ን በ ዘገባው አ ስፍሯል,tr_25_tr01025
ዘጠና ሁለት ኢትዮጵያውያ ን የ ደረሱበት ጠፉ,tr_26_tr01026
መረጃ ያልተገኘ ባቸው ቤታቸው ናቸው በ ማለት ምላሽ ሰጥተዋል,tr_27_tr01027
ኮንፍረንሱ ን የ መሩት ስር ዊሊያም ራሪ አዲስ ፎረ ም ለአፍሪካ ኢንቬስተመንት አዲስ ራእይ እንደሆነ ገልጸዋል,tr_28_tr01028
መላእክት ያጀቡ ት ህጻን ቦረና ህጻናት ን የሚጠብቁ ና የሚንከባከ ቧቸው መላእክት አሉ ይባላል,tr_29_tr01029
እውቅና ን መ ጐናጸፍ መጥፎ ጐን እንዳለው በሚገባ ተረድ ቻለሁ,tr_30_tr01030
እውቅና ን ማግኘቴ ለ እኔ ትልቅ ክብር ነው,tr_31_tr01031
ም ን ለማ ለት ነው ግልጽ አድርገው,tr_32_tr01032
ከዚያ በ ተጨማሪ የ ስልጠና ውን ሂደት የሚ ያሻሽል ላቸው ይ ሻሉ,tr_33_tr01033
ጨዋታው ቀጥሎ ፔናልቲ ውስጥ ቺላቬርት ኳስ ያገኝ ና ሳ ያውቅ ለ ፓሌርሞ ያቀ ብለዋል,tr_34_tr01034
አንዋር ጊዮርጊስ ሊገባ ነው,tr_35_tr01035
ሆን ተብሎ ም እየተደረገ ብኝ ነው,tr_36_tr01036
ጨዋታው የሚ ከናወነው ሚያዝያ አስራ ስምንት ቀን ነው,tr_37_tr01037
ኢንጂነር ግዛው ተክለ ማሪያም ግልጽ ባልሆነ ምክንያት ከ ተጫዋቾቹ ጋር ሳይ ተዋወቁ ቀር ተዋል,tr_38_tr01038
ደንቡ ን ያጸደቀ ው የ ፌዴራል እ ስፖርት ምክር ቤት ነው,tr_39_tr01039
ያን ን ማ ፕሮግራም ያወጡ ት እ ኮ እነ ክቡር አቶ ይድነቃቸው ተሰማ ናቸው,tr_40_tr01040
እንዲያ ውም እንደሚ ወራው ሊፒ ጁቬንትስ ዘንድሮ ለ ቻምፒየንስ ሊግ ድል ማብቃት ና ስማቸው ን መጠበቅ ነው አላማቸው,tr_41_tr01041
ሞዛምቢክ ን ያሸነፈ ው ታዳጊ ቡድናችን ትላንት ጠዋት አዲስ አባ ገባ,tr_42_tr01042
በ አቶ ወንድሙ እምነት ኢትዮጵያውያኑ በ አገራቸው የተደላደለ ኑሮ ሊኖሩ በ ቻሉ,tr_43_tr01043
ስንት ና ስንት ጀግኖች እንደ ወጡ ቀር ተዋል,tr_44_tr01044
በ ኢትዮጵያ በ ድርቅ ለ ተጐዱ እስካሁን የተገኘው አርባ ሺ ዶላር ብቻ ነው,tr_45_tr01045
ተጨማሪ የ ኢትዮጵያ ወታደሮች ሰሞኑ ን ሱማሊያ ገቡ,tr_46_tr01046
